Trade(tid=7693102, price=0.14990000, amount=0.80000000, maker_side=buy, created_at=2018-06-03 19:02:26+00:00)
Trade(tid=7693106, price=0.14990001, amount=0.02300614, maker_side=buy, created_at=2018-06-03 19:02:35+00:00)
Trade(tid=7693105, price=0.14990000, amount=0.04841894, maker_side=sell, created_at=2018-06-03 19:02:31+00:00)
Trade(tid=7693104, price=0.14990000, amount=0.00667112, maker_side=buy, created_at=2018-06-03 19:02:31+00:00)
Trade(tid=7693103, price=0.14990000, amount=0.74490994, maker_side=buy, created_at=2018-06-03 19:02:31+00:00)
Trade(tid=7693106, price=0.14990001, amount=0.02300614, maker_side=buy, created_at=2018-06-03 19:02:35+00:00)
Trade(tid=7693105, price=0.14990000, amount=0.04841894, maker_side=sell, created_at=2018-06-03 19:02:31+00:00)
Trade(tid=7693104, price=0.14990000, amount=0.00667112, maker_side=buy, created_at=2018-06-03 19:02:31+00:00)
Trade(tid=7693106, price=0.14990001, amount=0.02300614, maker_side=buy, created_at=2018-06-03 19:02:35+00:00)
Trade(tid=7693105, price=0.14990000, amount=0.04841894, maker_side=sell, created_at=2018-06-03 19:02:31+00:00)
Trade(tid=7693106, price=0.14990001, amount=0.02300614, maker_side=buy, created_at=2018-06-03 19:02:35+00:00)
Trade(tid=7693237, price=0.14900000, amount=0.31936075, maker_side=buy, created_at=2018-06-03 19:24:43+00:00)
Trade(tid=7693236, price=0.14900000, amount=0.06990100, maker_side=buy, created_at=2018-06-03 19:24:39+00:00)
Trade(tid=7693235, price=0.14900001, amount=0.07705667, maker_side=sell, created_at=2018-06-03 19:24:31+00:00)
Trade(tid=7693233, price=0.14900001, amount=0.07629687, maker_side=buy, created_at=2018-06-03 19:24:23+00:00)
Trade(tid=7693237, price=0.14900000, amount=0.31936075, maker_side=buy, created_at=2018-06-03 19:24:43+00:00)
Trade(tid=7693236, price=0.14900000, amount=0.06990100, maker_side=buy, created_at=2018-06-03 19:24:39+00:00)
Trade(tid=7693235, price=0.14900001, amount=0.07705667, maker_side=sell, created_at=2018-06-03 19:24:31+00:00)
